orgao_entidade;sigla;codigo_indexacao;tipo_documento;grau_sigilo;categoria;fundamento_legal;data_producao;data_classificacao;data_desclassificacao;tipo_classificacao;prazo_classificacao_anos;data_atualizacao;link
Controladoria-Geral do Estado - CGE-MG;CGE-MG;001.04.2021;Relatório de Inteligência NUCC nº 01/2019;Reservado;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2019-05-28 00:00:00;2021-04-12;2024-05-28;Desclassificada;5;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;002.04.2021;Relatório de Inteligência NUCC nº 02/2019;Reservado;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2019-07-11 00:00:00;2021-04-12;2024-07-11;Desclassificada;5;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;003.04.2021;Relatório de Inteligência NUCC nº 03/2019;Reservado;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2019-10-02 00:00:00;2021-04-12;2024-10-02;Desclassificada;5;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;004.04.2021;Relatório de Inteligência NUCC nº 04/2019;Reservado;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2019-10-15 00:00:00;2021-04-12;2024-10-15;Desclassificada;5;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;006.04.2021;Relatório de Inteligência NUCC nº 02/2020;Reservado;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2020-04-24 00:00:00;2021-04-12;2025-04-24;Desclassificada;5;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;005.04.2021;Relatório de Inteligência NUCC nº 01/2020;Reservado;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2020-04-27 00:00:00;2021-04-12;2025-04-27;Desclassificada;5;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;007.04.2021;Relatório de Inteligência NUCC nº 03/2020;Reservado;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2020-05-19 00:00:00;2021-04-12;2025-05-19;Desclassificada;5;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;008.04.2021;Relatório de Inteligência NUCC nº 04/2020;Reservado;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2020-05-20 00:00:00;2021-04-12;2025-05-20;Desclassificada;5;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;009.04.2021;Relatório de Inteligência NUCC nº 05/2020;Reservado;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2020-09-08 00:00:00;2021-04-12;2025-09-08;Desclassificada;5;2025-06-11;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;012.04.2021;Anexo I - históricos de atos lesivos de Acordo de Leniência de 18/08/2021;Secreto;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2021-08-18 00:00:00;2021-10-04;;Classificada;10;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;013.04.2021;Anexo II - demonstrativo de valor do acordo e cronograma de pagamentos de Acordo de Leniência de 18/08/2021;Secreto;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2021-08-18 00:00:00;2021-10-04;;Classificada;10;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;014.04.2021;Anexo III - instruções para pagamento de Acordo de Leniência de 18/08/2021;Secreto;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2021-08-18 00:00:00;2021-10-04;;Classificada;10;2026-05-05;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Controladoria-Geral do Estado - CGE-MG;CGE-MG;015.04.1521;Mapas de risco da Controladoria-Geral do Estado;Secreto;4 – Controle Interno;Art. 23, inciso VIII, da Lei Federal nº 12.527/2011;2022-04-28 00:00:00;2025-04-16;;Classificada;10;2025-06-11;https://cge.mg.gov.br/divulgacao-obrigatoria/informacoes-classificadas-e-desclassificadas
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;020.07.5011;Ata da reunião CODEMGE - FIEMG de 11/06/21 e documentos subsequentes sobre o tema (Ata de reunião de diretoria e Assembleia Geral);Secreto;7 - Economia e Finanças; Art. 86, §4º Lei 13.303/2016 ;2021-06-25 00:00:00;2021-06-25;;Classificada;15;2026-04-30;https://codemge.com.br/classificacao-da-informacao/
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;019.15.5011;Informações relativas aos relatórios entregues pela consultoria Ceres Inteligência no âmbito do contrato nº 10110;Reservado;15 -  Relações Institucionais; Art. 86, §4º Lei 13.303/2016 ;2022-06-01 00:00:00;2022-06-01;;Classificada;5;2026-04-30;https://codemge.com.br/classificacao-da-informacao/
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;022.07.5011;Informações referentes ao Contrato Social da Sociedade em Conta de Participação – SCP Água Mineral, firmado em 17/01/2018 entre  Máximus Prestação de Serviços Eireli – EPP e a Codemge. Aditivo em 15/02/2021 com a MINASBEV Águas do Brasil Ltda;Secreto;7 - Economia e Finanças; Art. 86, §4º Lei 13.303/2016 ;2024-02-22 00:00:00;2024-02-22;;Classificada;15;2026-04-30;https://codemge.com.br/classificacao-da-informacao/
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;003.07.5011;Informações relativas à parceria existente entre a CODEMIG,  UFMG e CDTN para desenvolvimento do projeto MG Grafeno;Secreto;7 - Economia e Finanças;Art. 23, inciso II, da Lei Federal nº 12.527/2011;2018-01-31 00:00:00;2018-01-31;;Classificada;15;2026-04-30;https://codemge.com.br/classificacao-da-informacao/
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;004.07.5011;Informações relativas ao Projeto LabFabITR.;Secreto;7 - Economia e Finanças;Art. 23, inciso II, da Lei Federal nº 12.527/2011;2018-05-01 00:00:00;2018-05-01;;Classificada;15;2026-04-30;https://codemge.com.br/classificacao-da-informacao/
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;008.07.5011;Informações relativas à atuação da Companhia Brasileira de Lítio;Secreto;7 - Economia e Finanças;Art. 23, inciso II, da Lei Federal nº 12.527/2011;2018-05-01 00:00:00;2018-05-01;;Classificada;15;2026-04-30;https://codemge.com.br/classificacao-da-informacao/
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;005.07.5011;Informações relativas ao Projeto Polo - Condicionador de Ar;Secreto;5 - Convênios e Transferências;Art. 23, inciso II, da Lei Federal nº 12.527/2011;2018-06-01 00:00:00;2018-06-01;;Classificada;15;2026-04-30;https://codemge.com.br/classificacao-da-informacao/
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;006.07.5011;Informações sobre o projeto de implantação de fábrica de lítio enxofre com a Oxis;Secreto;7 - Economia e Finanças;Art. 23, inciso II, da Lei Federal nº 12.527/2011;2018-10-01 00:00:00;2018-10-01;;Classificada;15;2026-04-30;https://codemge.com.br/classificacao-da-informacao/
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;009.07.5011;Informações relativas ao Projeto de Pelotização;Secreto;7 - Economia e Finanças;Art. 23, inciso II, da Lei Federal nº 12.527/2011;2019-04-14 00:00:00;2019-04-14;;Classificada;15;2026-04-30;https://codemge.com.br/classificacao-da-informacao/
