orgao_entidade;sigla;informacao_classificada;informacao_desclassificada;data_atualizacao;link
Advocacia-Geral do Estado de Minas Gerais;AGE;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Advocacia-Geral do Estado de Minas Gerais (AGE-MG) informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto, até a data 11.06.2025.;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Advocacia-Geral do Estado de Minas Gerais (AGE-MG) informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto, até a data 11.06.2025.;2025-06-11;https://advocaciageral.mg.gov.br/icd/
Agência de Desenvolvimento da Região Metropolitana de Belo Horizonte;ARMBH;A Agência RMBH não teve informações classificadas ou desclassificadas nos graus de sigilo reservada, secreta e ultrassecreta, definidos no art. 23 da Lei Federal nº 12.527/11 (Lei de Acesso à Informação).;A Agência RMBH não teve informações classificadas ou desclassificadas nos graus de sigilo reservada, secreta e ultrassecreta, definidos no art. 23 da Lei Federal nº 12.527/11 (Lei de Acesso à Informação).;2025-03-18;https://www.agenciarmbh.mg.gov.br/transparencia/
Agência de Desenvolvimento da Região Metropolitana do Vale do Aço;ARMVA;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Agência de Desenvolvimento da Região Metropolitana do Vale do Aço informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Agência de Desenvolvimento da Região Metropolitana do Vale do Aço informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto;2025-06-12;https://www.agenciarmva.mg.gov.br/classificacao-informacoes/
Agência Reguladora de Serviços de Abastecimento de Água e Esgotamento Sanitário do Estado de MG;ARSAE;No momento não existe conteúdo a ser publicado. A Arsae-MG informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservada, secreta e ultrassecreta, definidos no art. 23 da Lei Federal nº 12.527/11 (Lei de Acesso à Informação);No momento não existe conteúdo a ser publicado. A Arsae-MG informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservada, secreta e ultrassecreta, definidos no art. 23 da Lei Federal nº 12.527/11 (Lei de Acesso à Informação);2025-06-02;https://www.arsae.mg.gov.br/tra_informacoes/
Banco de Desenvolvimento de Minas Gerais - BDMG;BDMG;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, o Banco de Desenvolvimento de Minas Gerais informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, o Banco de Desenvolvimento de Minas Gerais informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto;2025-03-31;https://www.bdmg.mg.gov.br/transparencia-documentos/?classificados
Companhia de Desenvolvimento Econômico de Minas Gerais - CODEMGE;CODEMGE;Em atendimento ao disposto no artigo 46 do Decreto 45.969/2012, a Companhia de Desenvolvimento de Minas Gerais (Codemge) apresenta o rol de informações classificadas com grau de sigilo no período de 01/06/2024 a 31/05/2025.;Em atendimento ao disposto no artigo 46 do Decreto 45.969/2012, a Companhia de Desenvolvimento de Minas Gerais (Codemge) apresenta o rol de informações classificadas com grau de sigilo no período de 01/06/2024 a 31/05/2025.;2025-05-31;https://codemge.com.br/classificacao-da-informacao/
Companhia de Gás de Minas Gerais - GASMIG;GASMIG;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Gasmig informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto.;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Gasmig informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto.;2024-12-31;https://gasmig.com.br/transparencia/
Companhia de Habitação do Estado de Minas Gerais - COHAB;COHAB;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Companhia de Habitação do Estado de Minas Gerais informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Companhia de Habitação do Estado de Minas Gerais informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto;2025-06-04;http://www.cohab.mg.gov.br/informacoes-classificadas-desclassificadas/
Companhia de Saneamento de Minas Gerais - COPASA;COPASA;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto.;Em atendimento ao disposto no art. 46 do Decreto Estadual nº 45.969/2012, a Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto.;2025-05-03;https://www.copasa.com.br/wps/portal/internet/a-copasa/portal-da-transparencia
Companhia de Tecnologia da Informação do Estado de Minas Gerais - PRODEMGE;PRODEMGE;Em atendimento ao disposto no art. 46 do decreto estadual nº 45.969/2012, a Companhia de Tecnologia da Informação de Minas Gerais - Prodemge informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto;Em atendimento ao disposto no art. 46 do decreto estadual nº 45.969/2012, a Companhia de Tecnologia da Informação de Minas Gerais - Prodemge informa que não teve informações classificadas ou desclassificadas nos graus de sigilo reservado, secreto ou ultrassecreto;2025-10-23;https://www.prodemge.gov.br/transparencia/informacoes-classificadas-e-desclassificadas
